NC_000852	JF411744
NC_023681	JQ798165
NC_023686	JN698992
NC_023687	JN698998
NC_023688	GU396103
NC_023690	JN698997
NC_023691	JN412589
NC_023692	JN412591
NC_023693	FR775895
NC_023694	GU580942
NC_023695	JN687951
NC_023696	JN412588
NC_023697	JN699001
NC_023698	JQ809702
NC_023699	JN699012
NC_023700	HM624080
NC_023701	JN699007
NC_023702	JN699016
NC_023704	JN153085
NC_023705	JN412593
NC_023707	JN408460
NC_023710	JN398369
NC_023711	JN192463
NC_023712	JN698993
NC_023715	HQ333270
NC_023716	JN699005
NC_023717	JQ691611
NC_023719	JN638751
NC_023720	JN572689
NC_023721	JN542517
NC_023724	JN243855
NC_023725	JN699627
NC_023726	JN153086
NC_023728	JN698996
NC_023729	JN256079
NC_023730	JN624851
NC_023731	JN408461
NC_023732	JN680858
NC_023735	GU580941
NC_023736	AB597179
NC_023738	JN201525
NC_023739	JN699000
NC_023741	JN699011
NC_023743	JF770475
NC_023744	JN698994
NC_023745	JN699015
NC_023746	JN398368
NC_023748	GU247132
NC_023760	HM245925
NC_023761	KC508669
NC_023762	KC508670
NC_023763	GU078661
NC_023764	GU078660
NC_023765	KF297881
NC_023766	KF297880
NC_023812	KJ469640
NC_023813	KC852153
NC_023814	KC852155
NC_023815	KC852156
NC_023816	KC852158
NC_023817	KC852160
NC_023818	KC852162
NC_023819	KC852154
NC_023820	KC852157
NC_023821	KC852159
NC_023822	KC852161
NC_023844	JQ412056
NC_023845	JQ178241
NC_023848	KF938901
NC_023849	JX183732
NC_023852	JX141478
NC_023853	JX185415
NC_023855	JX185418
NC_023856	KJ174317
NC_023859	KJ173786
NC_023861	KF741227
NC_023864	KJ437671
NC_023865	KF534715
NC_023866	JX185426
NC_023868	JX185424
NC_023869	JX185422
NC_023870	JX185428
NC_023871	JX185429
NC_023872	JX185430
NC_023873	KJ410351
NC_023874	KF726984
NC_023876	KC967282
NC_023880	KC978990
NC_023882	KF741371
NC_023883	JX908739
NC_023885	KJ020099
NC_023887	KF880727
NC_023891	KJ130020
NC_023892	KJ415259
NC_023893	KJ123645
NC_023894	KJ173785
NC_023895	KC876045
NC_023983	AB735629
NC_023985	KJ000696
NC_023986	KJ125489
NC_023987	KF958461
NC_023988	KJ415177
NC_023989	KJ210622
NC_024009	KC202818
NC_024012	KF723258
NC_024013	KF723261
NC_024018	AY781152
NC_024031	KJ577139
NC_024070	KJ158169
NC_024074	JQ675599
NC_024075	JQ675600
NC_024076	JQ675598
NC_024115	KF757256
NC_024118	KF954417
NC_024120	KC663628
NC_024121	KJ025957
NC_024122	KJ174318
NC_024123	AB910393
NC_024124	KF582788
NC_024125	KJ668714
NC_024134	KJ190158
NC_024135	KJ510413
NC_024137	KJ451625
NC_024138	KJ538721
NC_024139	KJ190157
NC_024140	HG962375
NC_024142	KJ135004
NC_024144	HG531805
NC_024146	KJ419279
NC_024147	KJ510412
NC_024148	KJ510415
NC_024149	KJ528544
NC_024150	KJ563221
NC_024151	KJ364649
NC_024203	KJ489011
NC_024205	KJ489400
NC_024207	KJ489398
NC_024208	KJ489012
NC_024209	KJ194582
NC_024210	KJ668713
NC_024211	KJ489401
NC_024213	KJ489399
NC_024214	KJ489013
NC_024215	KJ489010
NC_024216	KJ489397
NC_024296	KC595273
NC_024300	KJ452243
NC_024301	KJ013302
NC_024303	KJ705001
NC_024304	HM585435
NC_024305	HM585436
NC_024306	AB825953
NC_024329	KJ183191
NC_024330	KJ477077
NC_024354	KC954774
NC_024355	KJ804259
NC_024356	KJ010489
NC_024358	KF356198
NC_024359	KJ094033
NC_024360	KJ535722
NC_024362	KJ507099
NC_024363	KJ595576
NC_024364	KJ535721
NC_024365	KJ507100
NC_024367	KJ621082
NC_024375	KJ094020
NC_024376	KF530058
NC_024379	KJ748011
NC_024381	HG962376
NC_024382	KF274499
NC_024383	KJ094030
NC_024384	KJ094022
NC_024385	KC013025
NC_024386	KC013026
NC_024387	KJ094023
NC_024388	KC013027
NC_024390	KC013022
NC_024392	KJ094021
NC_024444	KC790377
NC_024446	KJ859677
NC_024447	KJ801920
NC_024449	KF958838
NC_024451	HF920637
NC_024453	HM053693
NC_024455	KJ634409
NC_024457	AJ749902
NC_024458	JF930327
NC_024471	KF984546
NC_024473	JX121109
NC_024474	FN824512
NC_024476	KJ704367
NC_024479	KJ547648
NC_024485	AB915829
NC_024486	KJ469653
NC_024489	AB973945
NC_024491	LK054801
NC_024492	FJ803911
NC_024493	FJ803923
NC_024497	KJ629170
NC_024499	HQ842627
NC_024500	HQ842628
NC_024501	AB976029
NC_024502	AB976030
NC_024503	HQ842619
NC_024504	HQ842620
NC_024505	HQ842621
NC_024506	HQ842622
NC_024507	HQ842623
NC_024508	HQ842624
NC_024509	HQ842625
NC_024510	HQ842626
NC_024625	KM009991
NC_024684	KJ156523
NC_024685	KF537784
NC_024686	KF700263
NC_024687	KJ739692
NC_024689	LK931483
NC_024690	LK931484
NC_024691	LK931485
NC_024692	KJ184318
NC_024693	KJ476510
NC_024694	KJ206566
NC_024696	KF921519
NC_024697	KJ645900
NC_024699	KJ817266
NC_024700	KM017740
NC_024701	KM017741
NC_024702	HM849038
NC_024704	KJ787686
NC_024705	KJ787687
NC_024706	KJ787688
NC_024707	KJ787689
NC_024708	KJ787690
NC_024709	KJ541759
NC_024766	KF979333
NC_024767	KF979334
NC_024769	KF979336
NC_024770	KF979337
NC_024771	KM051845
NC_024772	KJ577811
NC_024773	KJ577812
NC_024774	KJ577816
NC_024775	KJ577817
NC_024776	KJ577819
NC_024778	KM114265
NC_024781	DQ447649
NC_024782	KF475786
NC_024783	KM233151
NC_024784	KF771238
NC_024785	KJ817802
NC_024786	KF192075
NC_024787	KJ591604
NC_024788	KJ489402
NC_024789	KF771239
NC_024790	KF562340
NC_024792	KM051843
NC_024793	KF771237
NC_024794	KF562341
NC_024808	KJ918748
NC_024809	KM244718
NC_024810	KM244719
NC_024886	X80879
NC_024887	KM115530
NC_024890	KF373758
NC_024891	KF373760
NC_024893	HQ625440
NC_024906	KJ748003
NC_024908	KM434181
NC_024909	KJ938717
NC_025112	KM110938
NC_025114	KM023140
NC_025115	AB981169
NC_025214	KM051424
NC_025215	KM111536
NC_025217	KF636752
NC_025218	KF274642
NC_025220	KF716173
NC_025244	KJ939346
NC_025246	JQ011377
NC_025247	EU056309
NC_025250	KF906523
NC_025251	JF311903
NC_025252	KJ711908
NC_025254	JX156434
NC_025255	HQ660076
NC_025256	HQ660129
NC_025257	KJ406702
NC_025259	KM282376
NC_025265	JQ714137
NC_025266	JQ714138
NC_025340	KJ396935
NC_025341	KC676792
NC_025342	KC984953
NC_025343	KF774436
NC_025345	JN192445
NC_025347	FJ231524
NC_025348	GU128081
NC_025349	HM147142
NC_025350	GU128082
NC_025351	JQ001776
NC_025352	KF278639
NC_025353	EU373658
NC_025355	JN689227
NC_025356	FJ872827
NC_025358	HM461974
NC_025359	FJ985748
NC_025360	EU156171
NC_025361	GU206351
NC_025362	KJ636781
NC_025363	KC333050
NC_025364	KC412247
NC_025365	GU170201
NC_025366	KJ101566
NC_025368	HQ385746
NC_025370	HQ385748
NC_025371	KC113517
NC_025373	EU782025
NC_025375	FM164764
NC_025376	KC113518
NC_025377	EF614258
NC_025378	JF911700
NC_025379	KF787112
NC_025380	HQ385752
NC_025381	AB917427
NC_025382	KF947078
NC_025383	KJ186782
NC_025384	AB604791
NC_025385	EF614261
NC_025386	JQ697837
NC_025387	HQ003891
NC_025388	FJ824737
NC_025389	KJ082087
NC_025390	EU910942
NC_025391	KJ399977
NC_025393	KC994644
NC_025394	HM566195
NC_025395	KF534749
NC_025396	JQ941664
NC_025397	GQ294473
NC_025399	JF705876
NC_025400	JQ941707
NC_025401	KF395226
NC_025402	JX857409
NC_025403	JX051319
NC_025404	JX051320
NC_025405	KC585008
NC_025406	KF958252
NC_025407	JQ886184
NC_025410	GU128080
NC_025414	KM236237
NC_025415	KJ564036
NC_025416	KJ888149
NC_025417	KC012913
NC_025418	AB716666
NC_025419	KM606994
NC_025420	KJ564037
NC_025421	KJ564038
NC_025423	KF554508
NC_025424	KJ920400
NC_025425	HE978309
NC_025426	KM216423
NC_025429	KM199770
NC_025430	KM360178
NC_025431	KM199771
NC_025432	KM203656
NC_025433	JX121091
NC_025434	KJ603229
NC_025435	KM233705
NC_025437	KM407600
NC_025438	KJ174157
NC_025441	JX128258
NC_025443	KJ802832
NC_025444	GU339467
NC_025445	KM247287
NC_025446	JX128257
NC_025447	KM507819
NC_025448	KM607000
NC_025449	JX128259
NC_025450	KM370384
NC_025451	KM253764
NC_025452	KJ716335
NC_025454	AB937974
NC_025455	KC310806
NC_025457	KJ473423
NC_025459	KJ858521
NC_025465	JX193904
NC_025467	JQ309827
NC_025468	KF533710
NC_025469	KF533711
NC_025474	AB937989
NC_025475	KM377674
NC_025477	HE572565
NC_025478	FN669168
NC_025479	KF533719
NC_025480	KF533720
NC_025481	FN669169
NC_025672	KJ950938
NC_025673	KJ950939
NC_025675	KJ950971
NC_025677	KJ950914
NC_025678	KM190146
NC_025681	HQ393477
NC_025682	JF713716
NC_025683	JF713718
NC_025684	JF713719
NC_025707	KF133809
NC_025722	KF133825
NC_025726	KM259873
NC_025727	KM259874
NC_025728	KF371630
NC_025729	KF371631
NC_025730	KF371632
NC_025731	KF371633
NC_025732	KF371634
NC_025733	KF371635
NC_025734	KF371636
NC_025735	KF371637
NC_025736	KF371638
NC_025737	KF371639
NC_025738	KF371640
NC_025741	KF371643
NC_025789	KM379144
NC_025790	KP071318
NC_025791	KM382269
NC_025792	KM382270
NC_025793	KM114307
NC_025794	KM114310
NC_025795	KM114304
NC_025796	KM114305
NC_025797	KM114306
NC_025798	KM114308
NC_025799	KM114309
NC_025821	KJ830760
NC_025822	KF322026
NC_025823	J02448
NC_025824	J02451
NC_025825	KJ396347
NC_025829	KM501444
NC_025830	KM190144
NC_025831	AB842088
NC_025832	AB842089
NC_025833	AB842090
NC_025834	KF806701
NC_025835	KF843822
NC_025837	KJ885302
NC_025889	AB971661
NC_025890	KM873611
NC_025891	KP120516
NC_025892	JX159985
NC_025894	AB767294
NC_025895	AB588640
NC_025896	AB767299
NC_025897	AB767295
NC_025898	AB767297
NC_025899	KC594077
NC_025960	KM102981
NC_025962	KJ675568
NC_025963	KM502564
NC_025964	LK028570
NC_025967	AB923924
NC_026010	KP085586
NC_026011	KM349742
NC_026014	KP063541
NC_026016	KF831354
NC_026017	KM272358
NC_026018	KJ909794
NC_026019	KJ909795
NC_026020	LN651258
NC_026135	KP090346
NC_026136	KP239989
NC_026139	KJ549662
NC_026140	KJ363185
NC_026141	KP033140
NC_026144	KJ547634
NC_026161	KJ547635
NC_026162	KJ547636
NC_026164	KJ547638
NC_026165	KJ547639
NC_026166	KJ547641
NC_026167	KJ547642
NC_026168	KJ547643
NC_026238	KM078034
NC_026239	AY038066
NC_026240	AY038068
NC_026242	KM610234
NC_026244	KP264963
NC_026245	KP005454
NC_026246	KJ855308
NC_026247	KJ855307
NC_026248	KJ789130
NC_026249	KM589358
NC_026251	KM035804
NC_026253	KM887907
NC_026258	KM821751
NC_026259	KM821752
NC_026261	KM510192
NC_026262	KM821754
NC_026263	KM821755
NC_026267	KM821759
NC_026268	KJ631622
NC_026271	KM821762
NC_026272	KP005453
NC_026274	KM821764
NC_026277	KM821767
NC_026281	KJ481926
NC_026282	KJ481924
NC_026283	KJ481925
NC_026314	KP233897
NC_026315	KM396707
NC_026316	KM396708
NC_026317	KP233189
NC_026318	KP233190
NC_026319	KP233191
NC_026320	KP233194
NC_026421	KM924295
NC_026430	KJ631623
NC_026439	KP026921
NC_026470	KP100644
NC_026472	KM229702
NC_026473	KP644238
NC_026509	KP126831
NC_026511	KM371112
NC_026513	KP663484
NC_026514	KP663485
NC_026585	KM279937
NC_026587	LN610573
NC_026588	KM101124
NC_026589	KP027201
NC_026590	KJ567043
NC_026592	KP313240
NC_026593	KM347889
NC_026594	LN610577
NC_026595	KM101122
NC_026596	KM066034
NC_026597	KM083128
NC_026599	LN610578
NC_026600	LN610589
NC_026601	LN610590
NC_026602	LN610574
NC_026603	KP027199
NC_026605	KP027200
NC_026606	KM879463
NC_026607	KJ000058
NC_026608	KP162168
NC_026609	KM514685
NC_026611	AP014629
NC_026615	KM523548
NC_026616	KP784454
NC_026617	KM819698
NC_026618	KM819699
NC_026619	KM819701
NC_026620	KJ469371
NC_026621	LC006128
NC_026622	LC006129
NC_026623	KF917536
NC_026635	KM874318
NC_026640	KP099966
NC_026652	KM874354
NC_026662	KP296853
NC_026663	KP296857
NC_026664	KP296854
NC_026732	KC601997
NC_026759	KP405232
NC_026760	KM386645
NC_026761	KP195260
NC_026762	AB972941
NC_026763	KP188831
NC_026765	KP296856
NC_026767	AB972944
NC_026768	AB972945
NC_026769	AB972946
NC_026770	AB972947
NC_026798	LN713934
NC_026801	LN713933
NC_026806	KP263543
NC_026808	KP263545
NC_026810	KP263547
NC_026811	JN116253
NC_026812	KJ681496
NC_026815	AB937988
NC_026816	KJ395757
NC_026818	KP133075
NC_026819	KP710178
NC_026820	KM369887
NC_026821	KM369888
NC_026822	KM369889
NC_026823	KM369890
NC_026824	KM369891
NC_026825	KM369892
NC_026826	KM369893
NC_026827	KM369894
NC_026828	KM369895
NC_026829	KM369896
NC_026830	KM369897
NC_026921	KP230449
NC_026922	KP752043
NC_026924	KJ019071
NC_026943	KP410261
NC_026944	KP768176
NC_026945	KP793918
NC_027016	KR351281
NC_027118	JF712866
NC_027119	KP797973
NC_027120	GQ403788
NC_027121	KR349464
NC_027123	LC019764
NC_027124	KR139839
NC_027125	KM873719
NC_027131	HG940503
NC_027132	KJ019082
NC_027134	KM272987
NC_027135	KM272988
NC_027136	KP867641
NC_027137	KP867642
NC_027138	KP774592
NC_027139	KP774593
NC_027140	JX961616
NC_027141	JX961617
NC_027142	JX961618
NC_027198	KC577469
NC_027199	KM589359
NC_027204	KF381361
NC_027208	KP842791
NC_027209	KP893140
NC_027210	KP343681
NC_027212	LC026053
NC_027213	KP143769
NC_027214	KP770140
NC_027215	LM651400
NC_027221	KP686398
NC_027222	KP686399
NC_027292	KP025626
NC_027293	KM236239
NC_027295	KJ578790
NC_027297	KM236244
NC_027298	HE584812
NC_027329	KP010413
NC_027330	KJ749827
NC_027331	KM236240
NC_027333	KJ578767
NC_027335	KJ801817
NC_027336	KJ578758
NC_027337	KM657822
NC_027340	KP037007
NC_027341	KM677185
NC_027342	KF319020
NC_027344	JX181825
NC_027346	KJ578787
NC_027347	KJ578783
NC_027348	KM879221
NC_027349	KF925357
NC_027350	KM236241
NC_027351	JX181824
NC_027352	KJ676859
NC_027353	HE956711
NC_027354	KJ578791
NC_027355	KJ081346
NC_027356	KM979354
NC_027357	KJ578759
NC_027358	KM262192
NC_027360	JN225449
NC_027362	KJ578776
NC_027363	KM819694
NC_027364	KC295538
NC_027365	JN831653
NC_027366	KM236245
NC_027367	KJ578780
NC_027368	HG803181
NC_027369	JX560968
NC_027370	KJ578788
NC_027371	KJ722067
NC_027372	KM236247
NC_027374	KM236246
NC_027375	KM067278
NC_027376	KJ578792
NC_027378	KM236243
NC_027379	KM819695
NC_027380	KJ578765
NC_027381	KM236242
NC_027382	KP010268
NC_027383	KM896878
NC_027385	KJ578773
NC_027386	KJ578785
NC_027387	KM242061
NC_027388	KM974184
NC_027389	KJ578781
NC_027390	KM819696
NC_027391	KJ578761
NC_027392	KJ578789
NC_027394	KM236248
NC_027395	KM044272
NC_027399	AB897757
NC_027401	KJ578774
NC_027402	JN641803
NC_027403	KJ578778
NC_027404	KF208315
NC_027405	KJ578786
NC_027429	KP733794
NC_027430	KR137527
NC_027432	KR677387
NC_027528	KP692115
NC_027530	LC018134
NC_027531	KR075943
NC_027533	KP268804
NC_027534	KP268794
NC_027535	KP268795
NC_027536	KP268796
NC_027537	KP268797
NC_027538	KP268798
NC_027539	KP268805
NC_027540	KP268806
NC_027541	KP268807
NC_027542	KP268808
NC_027543	KP268809
NC_027544	KP268810
NC_027545	KP268811
NC_027546	KP268812
NC_027547	KP268813
NC_027548	KP268799
NC_027549	KP268800
NC_027550	KP268801
NC_027551	KP268802
NC_027552	KP268803
NC_027553	KP268784
NC_027554	KP268785
NC_027555	KP268786
NC_027556	KP268787
NC_027557	KP268788
NC_027558	KP268789
NC_027559	KP268790
NC_027560	KP268791
NC_027561	KP268792
NC_027562	KP268793
NC_027563	KP876629
NC_027564	KP876630
NC_027565	KP876631
NC_027566	KP876632
NC_027620	KR337643
NC_027621	KR337646
NC_027622	KR337652
NC_027623	KR337653
NC_027624	KR337648
NC_027625	KR337645
NC_027626	KR337644
NC_027627	KR337647
NC_027628	KR337650
NC_027629	KR337651
NC_027630	KR337654
NC_027632	KR134312
NC_027703	KF427701
NC_027705	KT160425
NC_027706	KP769852
NC_027707	KT159937
NC_027708	KP238322
NC_027710	EU151723
NC_027712	KT203917
NC_027714	KP732474
NC_027718	KM114546
NC_027719	KM114548
NC_027720	KM114547
NC_027776	KT309029
NC_027777	KP860906
NC_027778	KR139659
NC_027783	KR528548
NC_027784	KR528549
NC_027786	KR528551
NC_027787	KR528552
NC_027788	KR528554
NC_027792	KR528560
NC_027793	KR528561
NC_027794	KR528562
NC_027800	KR528568
NC_027818	KR703607
NC_027820	KT253577
NC_027821	KR912221
NC_027915	KT238881
NC_027916	KM924292
NC_027918	LC055960
NC_027919	LC055961
NC_027920	KR080326
NC_027922	KR229754
NC_027923	KM596836
NC_027924	KR080327
NC_027928	KT290039
NC_027929	KT290040
NC_027930	KT290041
NC_027980	JQ267518
NC_027981	FN297812
NC_027983	AP011113
NC_027984	HM208303
NC_027986	JX495041
NC_027987	GQ451696
NC_027988	KP774835
NC_027989	HM246720
NC_027990	GU967410
NC_027992	JX495042
NC_027993	GU196277
NC_027994	GU196278
NC_027995	GU903191
NC_027996	FN667789
NC_027997	FN667788
NC_028044	KP984504
NC_028045	KT783484
NC_028046	KM880103
NC_028094	KT820662
NC_028099	KT595939
NC_028103	KP329563
NC_028105	KP329564
NC_028107	KP329565
NC_028113	KP329561
NC_028117	KR612368
NC_028119	KR612373
NC_028120	JQ958889
NC_028121	JQ958891
NC_028122	JQ958892
NC_028123	JQ958893
NC_028124	KR612272
NC_028125	JX413107
NC_028126	JF834523
NC_028127	FN356901
NC_028131	KR605505
NC_028132	KR605506
NC_028138	AF325498
NC_028139	KP404602
NC_028140	KT201151
NC_028141	KT201152
NC_028142	KT201153
NC_028143	KT201154
NC_028144	LC055681
NC_028145	LC060925
NC_028146	KP404603
NC_028231	KM823531
NC_028232	KJ432572
NC_028234	KM350503
NC_028236	KJ179955
NC_028237	KP205452
NC_028238	KP728110
NC_028239	KM085029
NC_028241	KM085030
NC_028243	KM460042
NC_028244	KM213865
NC_028246	JN935380
NC_028248	LN881727
NC_028249	KC802221
NC_028255	EU373657
NC_028256	HE580237
NC_028259	KM817593
NC_028260	KM817594
NC_028261	KM817595
NC_028262	KM359406
NC_028263	KM817599
NC_028264	KM817600
NC_028265	KM817610
NC_028266	KM817611
NC_028267	KP205503
NC_028269	KM502589
NC_028362	KT215610
NC_028363	KT452637
NC_028364	KT452658
NC_028365	KT452691
NC_028366	KT452714
NC_028378	KT013296
NC_028379	KT832477
NC_028380	KP779642
NC_028449	KP682371
NC_028459	KP974693
NC_028460	KT598248
NC_028461	FJ433873
NC_028462	KT148886
NC_028467	KT601099
NC_028468	KT601100
NC_028470	KT601107
NC_028471	LN827941
NC_028472	LN827942
NC_028474	LN827947
NC_028476	LN827955
NC_028478	KT383474
NC_028480	LC075485
NC_028481	LC075487
NC_028482	KU095839
NC_028483	LC075488
NC_028484	KU095840
NC_028485	LC075490
NC_028486	LC075491
NC_028488	LC075492
NC_028491	KP296186
NC_028492	KT945134
NC_028495	KT601115
NC_028496	KT601117
NC_028497	KT601118
NC_028500	KT601116
NC_028635	KT884050
NC_028636	KJ676450
NC_028649	KR872420
NC_028650	KT716186
NC_028653	KR053201
NC_028654	KT895280
NC_028655	KT852574
NC_028657	KT968831
NC_028659	KT934943
NC_028660	KF971864
NC_028661	KU064779
NC_028662	KT206225
NC_028663	KP211958
NC_028664	KT367886
NC_028665	KR053200
NC_028667	LN898172
NC_028668	KR063279
NC_028669	KT344895
NC_028670	KT964103
NC_028672	KT353109
NC_028673	KR063278
NC_028675	HQ186308
NC_028676	KP881232
NC_028679	KT388103
NC_028683	AP014714
NC_028684	KT388102
NC_028685	KR781488
NC_028686	KT239446
NC_028688	KT367885
NC_028691	KR781349
NC_028692	KT355471
NC_028693	KT932700
NC_028697	KT388093
NC_028698	KR270151
NC_028699	KT630649
NC_028702	KR153873
NC_028742	KR080199
NC_028745	KR054030
NC_028746	KT361651
NC_028747	KT347313
NC_028748	KJ024807
NC_028750	KT001918
NC_028754	KP143763
NC_028755	KT381880
NC_028758	KP202972
NC_028759	KT591490
NC_028760	KR262148
NC_028762	KP890823
NC_028763	KR136260
NC_028764	LN681539
NC_028765	KP027446
NC_028767	KT361654
NC_028768	KP202969
NC_028770	JQ067087
NC_028772	KT321314
NC_028774	KT001920
NC_028775	KJ452292
NC_028776	KP064094
NC_028777	KP696448
NC_028780	LN881732
NC_028783	KR905069
NC_028786	KP658157
NC_028787	KP282674
NC_028788	KP296791
NC_028789	KT780304
NC_028791	KR080202
NC_028792	KR935214
NC_028793	KT962999
NC_028794	KM197169
NC_028795	KP791806
NC_028796	KR080195
NC_028799	KP280062
NC_028800	KR149291
NC_028802	KT004677
NC_028803	JN006064
NC_028805	KT151955
NC_028807	KT221033
NC_028808	KT454805
NC_028809	JQ067093
NC_028811	KJ473806
NC_028812	KP063118
NC_028814	KJ473807
NC_028816	KP708985
NC_028818	KP876466
NC_028820	KP202158
NC_028822	KP090453
NC_028825	KR014248
NC_028826	KT588072
NC_028827	KT184391
NC_028829	KP671755
NC_028830	KR905068
NC_028832	KM363596
NC_028833	KJ473809
NC_028834	KP202970
NC_028835	KR905067
NC_028836	KR054031
NC_028838	LN681540
NC_028840	LN887948
NC_028841	KP296792
NC_028842	KM652553
NC_028843	KT281791
NC_028844	KT279576
NC_028846	KR080206
NC_028847	KT176190
NC_028848	KR149290
NC_028849	KR080193
NC_028850	KT184661
NC_028851	KT361649
NC_028854	KP296796
NC_028856	KP696447
NC_028857	KT001915
NC_028859	KP893289
NC_028861	KR080197
NC_028862	KT186243
NC_028863	KP090454
NC_028864	DQ530362
NC_028865	KR011062
NC_028867	KF823814
NC_028868	KT893294
NC_028869	KT281790
NC_028870	KP708986
NC_028872	KM092515
NC_028877	KM677210
NC_028878	KT591489
NC_028880	KP313531
NC_028881	KP007359
NC_028882	KM434186
NC_028883	LN681541
NC_028887	KT307976
NC_028888	KR905066
NC_028889	KR997930
NC_028890	KT224359
NC_028892	KT152029
NC_028894	KP007360
NC_028895	KP280063
NC_028896	KR073660
NC_028897	KT246486
NC_028899	AP014927
NC_028900	FJ848881
NC_028901	LN881730
NC_028902	EF068134
NC_028903	KP308307
NC_028904	KT186228
NC_028905	LN681535
NC_028906	JN006061
NC_028908	KT321317
NC_028910	KT281795
NC_028911	KR905070
NC_028912	KM101118
NC_028913	DQ530360
NC_028914	KP273225
NC_028915	KP893290
NC_028916	KP890822
NC_028917	KJ452291
NC_028921	KT191297
NC_028922	KR080198
NC_028924	KR136259
NC_028925	KP007361
NC_028926	KP411017
NC_028927	LN881726
NC_028929	KP399678
NC_028930	KT755656
NC_028931	JQ067089
NC_028933	KP233880
NC_028934	KR080194
NC_028935	KT454806
NC_028937	KR824843
NC_028938	KP282673
NC_028939	KM434184
NC_028940	KF835987
NC_028943	KR073661
NC_028944	KT207918
NC_028945	KR052482
NC_028946	KT309034
NC_028947	KM923971
NC_028949	KT721705
NC_028950	AP014693
NC_028951	LN681538
NC_028952	KT221034
NC_028955	KM359505
NC_028957	KP007362
NC_028958	LN681536
NC_028959	LN681542
NC_028960	KT438501
NC_028961	KT281792
NC_028962	KP027447
NC_028963	KP280006
NC_028966	KR011063
NC_028968	KT270441
NC_028969	KT151956
NC_028971	KR054033
NC_028973	KP729195
NC_028974	KP876465
NC_028976	KT184390
NC_028977	LN866626
NC_028978	KM677211
NC_028980	KT734862
NC_028981	KT877158
NC_028982	KC595512
NC_028983	KC595513
NC_028985	HE862273
NC_028986	JF704092
NC_028987	KT804908
NC_028988	AB920995
NC_028990	KT932701
NC_028996	LK985322
NC_028997	KP719133
NC_028999	HQ630627
NC_029000	JX306041
NC_029001	HG798901
NC_029002	KF356199
NC_029003	KT630644
NC_029007	AB983711
NC_029008	KT970645
NC_029009	KP339049
NC_029010	KJ716334
NC_029013	KR869820
NC_029015	KT630645
NC_029017	LC064302
NC_029019	KR537871
NC_029021	KP719134
NC_029023	KF055347
NC_029024	GU229986
NC_029026	KR049063
NC_029028	KP719132
NC_029029	KC595517
NC_029031	KC310805
NC_029034	KT225271
NC_029035	KT225272
NC_029036	KT692953
NC_029037	KT225273
NC_029038	KT692952
NC_029042	KR296692
NC_029045	KR296691
NC_029051	KT222674
NC_029053	KT447550
NC_029054	DQ859067
NC_029056	KT581960
NC_029058	KP054477
NC_029064	KT727022
NC_029065	LN887844
NC_029070	LN878149
NC_029074	KP790008
NC_029076	KT692938
NC_029081	KR604693
NC_029082	KP863799
NC_029084	KP296793
NC_029087	KJ572562
NC_029088	KJ572563
NC_029089	KJ572564
NC_029091	KR422352
NC_029092	KT381879
NC_029094	KR534323
NC_029095	KT388110
NC_029096	KT388111
NC_029097	KR935213
NC_029098	KM652554
NC_029099	JF501022
NC_029102	KP791805
NC_029105	KT948787
NC_029106	KT321316
NC_029109	KT945163
NC_029116	HG796225
NC_029117	KT388076
NC_029118	KT339177
NC_029120	KF766125
NC_029121	KJ010547
NC_029122	LC008510
NC_029123	LC008511
NC_029124	LC008512
NC_029125	LC062704
NC_029126	LC062705
NC_029127	KJ939330
NC_029128	KJ939331
NC_029129	KJ939332
NC_029132	KT594769
NC_029133	KT454512
NC_029255	KU220026
NC_029301	KT763043
NC_029302	KT725636
NC_029303	KJ413252
NC_029304	KU593505
NC_029306	KT727023
NC_029307	KT727024
NC_029309	KT727026
NC_029311	JQ596859
NC_029312	LC101918
NC_029314	KP282675
NC_029548	KU307456
NC_029549	KJ939624
NC_029550	KJ939626
NC_029551	KJ939627
NC_029552	KJ939628
NC_029553	KJ939629
NC_029554	KJ939630
NC_029555	KJ939631
NC_029556	HF568802
NC_029557	HF568804
NC_029558	FR823300
NC_029559	FR823301
NC_029560	FR823302
NC_029561	FR823303
NC_029562	AM941711
NC_029563	FM991954
NC_029564	FM992851
NC_029565	FM864225
NC_029566	HE803826
NC_029567	FR823299
NC_029568	HE803827
NC_029569	HF945448
NC_029570	KJ939623
NC_029571	KP970121
NC_029572	KP970122
NC_029573	KP970123
NC_029574	HF568803
NC_029575	HF568801
NC_029578	LC081344
NC_029584	KP153404
NC_029587	KP153407
NC_029589	KP153408
NC_029591	KP153474
NC_029597	KP153483
NC_029598	KP153485
NC_029612	KP153409
NC_029616	KP153494
NC_029631	KP153500
NC_029633	KP153501
NC_029642	KF578398
NC_029648	FN552001
NC_029783	LC052212
NC_029797	LC085675
NC_029799	FJ623474
NC_029800	AF001387
NC_029803	KT878828
NC_029804	KT878829
NC_029898	KT698853
NC_029900	KP901095
NC_029901	KP966616
NC_029903	KP966619
NC_029905	KU587555
NC_029906	KT962089
NC_029911	KU198603
NC_029912	KU198604
NC_029913	KU198605
NC_029914	KU198607
NC_029915	KU198608
NC_029916	KU198610
NC_029917	KU198602
NC_029918	KU198606
NC_029919	KU198609
NC_029920	KU198611
NC_029921	KU751815
NC_029922	KU751817
NC_029923	KU751818
NC_029924	KU751820
NC_029925	KU751822
NC_029926	KU751814
NC_029927	KU751816
